CountryCode,CountryName,Confederation
CRO,Croacia,UEFA
DRC,RD Congo,CAF
SRB,Servia,UEFA
ALG,Argelia,CAF
OMA,Oma,AFC
MEX,Mexico,CONCACAF
BRA,Brasil,CONMEBOL
SUI,Suica,UEFA
BFA,Burkina Faso,CAF
MAR,Marrocos,CAF
IRQ,Iraque,AFC
WAL,Pais de Gales,UEFA
POR,Portugal,UEFA
ARG,Argentina,CONMEBOL
BIH,BIH,FIFA
GHA,Gana,CAF
ITA,ITA,FIFA
CAN,Canada,CONCACAF
BEL,Belgica,UEFA
JOR,Jordania,AFC
AUS,Australia,AFC
MLI,Mali,CAF
FRA,Franca,UEFA
UZB,Uzbequistao,AFC
ESP,Espanha,UEFA
GER,Alemanha,UEFA
ZAM,Zambia,CAF
ISL,ISL,FIFA
IRN,Ira,AFC
PER,Peru,CONMEBOL
CIV,Costa do Marfim,CAF
SVK,Eslovaquia,UEFA
COL,Colombia,CONMEBOL
TUN,Tunisia,CAF
SEN,Senegal,CAF
CRI,CRI,FIFA
KOR,Coreia do Sul,AFC
CPV,Cabo Verde,CAF
QAT,Catar,AFC
NED,Holanda,UEFA
EGY,Egito,CAF
JPN,Japao,AFC
KSA,Arabia Saudita,AFC
SWE,SWE,FIFA
ENG,Inglaterra,UEFA
NZL,Nova Zelandia,OFC
NGA,Nigeria,CAF
SAU,SAU,FIFA
BHR,Bahrein,AFC
GRE,Grecia,UEFA
POL,Polonia,UEFA
RUS,RUS,FIFA
URU,Uruguai,CONMEBOL
CMR,Camaroes,CAF
PRK,PRK,FIFA
ECU,Equador,CONMEBOL
CRC,Costa Rica,CONCACAF
USA,EUA,CONCACAF
CHI,Chile,CONMEBOL
SVN,Eslovenia,UEFA
DEN,Dinamarca,UEFA
HON,Honduras,CONCACAF
PAR,Paraguai,CONMEBOL
