PlayerID,Name,CountryCode,WorldCupYear,Position,Age,BirthYear,Height,Weight,PreferredFoot,MarketValue,OverallRating,Matches,Minutes,Goals,Assists,Saves,CleanSheets,GoalsConceded,PassAccuracy,Tackles,Interceptions,Clearances,Errors,PenaltiesSaved,xG,Shots,ShotsOnTarget,Dribbles,Fouls,YellowCards,RedCards
1,Casillas,ESP,2010,CB,35,1975,170,79,Left,39.8,85,1,142,0.23,0.11,0.0,2.4,0.0,84.3,12.73,9.04,27.7,0.61,-0.8,0.8,4.07,0.49,1.78,10.91,0,0
2,Ramos,ESP,2010,CM,33,1977,174,71,Left,37.4,79,3,251,0.56,0.68,0.0,0.96,0.0,86.4,6.06,9.79,3.03,0.96,0.1,0.45,4.89,2.35,5.97,7.64,0,0
3,Pique,ESP,2010,RW,21,1989,190,68,Right,63.3,81,3,292,0.97,1.03,0.0,0.44,0.0,78.6,3.25,3.49,1.62,1.61,-0.1,1.01,10.7,4.03,18.95,4.98,0,0
4,Busquets,ESP,2010,CAM,23,1987,183,78,Left,49.2,79,3,291,0.81,0.77,0.0,0.86,0.0,83.7,4.64,7.57,1.63,0.8,-0.1,0.85,10.08,3.64,15.11,3.07,0,0
5,Iniesta,ESP,2010,CM,35,1975,179,74,Left,36.0,67,3,256,0.55,0.63,0.0,0.67,0.0,85.1,6.48,5.05,4.85,0.77,-0.4,0.65,5.95,2.09,10.51,4.91,1,0
6,Xavi,ESP,2010,ST,20,1990,187,78,Left,94.9,86,4,371,1.31,0.42,0.0,0.0,0.0,74.0,2.25,2.96,0.58,1.53,0.4,1.38,7.11,4.65,8.8,10.44,0,0
7,Villa,ESP,2010,CB,37,1973,181,84,Right,85.1,81,4,390,0.18,0.05,0.0,3.09,0.0,85.2,10.27,8.16,27.57,0.18,-0.0,0.55,2.12,1.05,2.26,9.45,0,0
8,Torres,ESP,2010,RB,21,1989,180,75,Right,110.1,91,3,267,0.34,0.32,0.0,3.25,0.0,75.8,9.97,7.24,16.09,0.83,-0.4,0.57,5.52,2.79,2.93,6.53,1,0
9,Alba,ESP,2010,LB,35,1975,186,82,Right,24.8,84,3,264,0.13,0.44,0.0,2.74,0.0,83.1,13.64,7.12,12.53,0.77,-0.1,-0.35,6.07,2.92,5.59,3.25,1,0
10,Arbeloa,ESP,2010,RW,19,1991,183,78,Left,90.4,86,2,209,0.43,1.29,0.0,0.28,0.0,75.0,2.84,4.05,2.01,0.96,0.1,0.98,12.09,3.77,17.95,2.83,0,0
11,Silva,ESP,2010,RB,21,1989,192,82,Left,46.2,80,5,424,0.19,0.53,0.0,0.95,0.0,84.2,10.93,6.53,5.23,0.7,0.1,0.59,5.82,2.0,5.7,5.32,0,0
12,Pedro,ESP,2010,LB,22,1988,180,71,Right,24.4,73,3,289,0.33,0.52,0.0,0.92,0.0,85.5,7.33,6.96,9.08,1.0,-0.6,-0.0,8.68,2.82,9.19,4.66,1,0
13,Navar,ESP,2010,GK,36,1974,194,79,Right,10.5,65,3,288,0.0,0.0,14.96,1.35,3.27,84.4,0.81,1.88,4.65,0.0,0.3,-0.19,0.0,0.0,0.0,0.91,0,0
14,Llorente,ESP,2010,CDM,33,1977,171,79,Right,60.2,76,3,340,0.15,0.34,0.0,1.33,0.0,86.9,16.53,16.49,5.54,0.6,0.6,0.35,4.06,0.91,5.11,5.88,0,0
15,Morata,ESP,2010,LW,31,1979,175,86,Right,73.5,87,6,554,0.39,0.74,0.0,0.43,0.0,77.9,2.78,3.87,0.91,1.66,0.6,1.45,11.91,4.9,10.84,4.35,0,0
16,Asensio,ESP,2010,ST,37,1973,174,80,Right,80.8,77,4,342,0.92,0.32,0.0,0.0,0.0,70.5,1.87,3.86,1.41,0.59,0.1,1.55,8.77,3.92,5.97,8.75,0,0
17,Sarabia,ESP,2010,GK,28,1982,197,91,Right,41.6,80,4,431,0.0,0.0,21.17,1.88,2.01,79.8,0.74,2.79,5.74,0.0,0.5,-0.05,0.0,0.0,0.0,0.86,0,0
18,Unai Simon,ESP,2010,CDM,34,1976,184,88,Right,28.8,64,5,458,0.17,0.25,0.0,0.79,0.0,84.9,12.41,12.21,7.57,0.5,-0.3,-0.18,4.26,0.97,5.85,6.63,1,0
19,Rodri,ESP,2010,CB,21,1989,174,88,Both,73.1,94,1,120,0.3,0.11,0.0,2.33,0.0,91.1,7.54,13.53,25.87,0.6,-0.3,0.32,4.5,0.78,1.36,3.11,1,0
20,Gavi,ESP,2010,LW,19,1991,188,83,Left,50.4,77,4,316,1.16,1.15,0.0,0.34,0.0,76.4,2.14,5.74,2.15,1.16,0.0,0.49,10.94,2.83,13.32,3.84,0,0
21,Pedri,ESP,2010,CM,31,1979,176,71,Left,11.8,69,5,436,0.19,0.54,0.0,0.78,0.0,86.3,8.75,10.7,5.4,0.73,0.3,0.41,7.14,1.88,9.65,6.15,0,0
22,Ferran Torres,ESP,2010,CB,29,1981,188,79,Left,51.7,86,3,305,0.24,0.06,0.0,2.07,0.0,89.6,4.93,11.64,25.04,0.42,0.1,0.47,4.57,0.74,3.0,5.14,0,0
23,Olmo,ESP,2010,GK,20,1990,199,89,Both,61.3,79,3,271,0.0,0.0,13.67,3.37,3.74,84.3,1.53,2.1,3.28,0.0,0.4,-0.41,0.0,0.0,0.0,0.63,0,0
24,Van Dijk,NED,2010,GK,34,1976,189,88,Right,10.7,67,4,335,0.0,0.0,10.82,1.0,2.39,80.6,0.85,1.46,4.92,0.0,0.1,0.47,0.0,0.0,0.0,1.1,0,0
25,De Jong,NED,2010,LB,28,1982,193,68,Left,66.9,82,3,256,0.24,0.57,0.0,1.86,0.0,85.1,10.9,12.19,14.23,1.17,0.0,0.2,5.84,1.42,6.21,7.95,0,0
26,Depay,NED,2010,CB,36,1974,188,68,Right,44.0,85,3,300,0.24,0.09,0.0,1.67,0.0,89.9,5.31,9.42,23.79,0.15,-0.1,0.28,3.17,1.04,3.25,3.76,0,0
27,De Ligt,NED,2010,GK,19,1991,188,92,Left,48.0,83,4,333,0.0,0.0,17.53,3.64,4.42,85.7,1.07,2.34,5.1,0.0,0.3,0.06,0.0,0.0,0.0,0.73,0,0
28,Wijnaldum,NED,2010,LW,34,1976,173,79,Both,29.0,80,5,432,0.52,0.68,0.0,0.32,0.0,81.8,2.24,3.74,2.14,1.32,0.0,0.81,7.73,2.84,10.89,3.14,0,0
29,Blind,NED,2010,LW,30,1980,189,81,Right,94.9,85,5,488,1.22,0.44,0.0,0.52,0.0,79.0,4.1,4.99,1.44,1.9,0.3,0.66,10.45,4.82,10.43,4.62,0,0
30,Dumfries,NED,2010,CDM,36,1974,179,80,Right,33.6,81,7,626,0.16,0.32,0.0,1.46,0.0,92.5,16.85,16.1,9.87,0.38,-0.0,0.63,2.73,0.86,3.7,9.41,1,0
31,Berghuis,NED,2010,GK,35,1975,188,93,Right,11.2,87,3,301,0.0,0.0,15.11,1.97,1.95,88.7,0.93,3.18,0.86,0.0,0.5,0.26,0.0,0.0,0.0,1.07,0,0
