TeamCode,WorldCupYear
ESP,2010
NED,2010
GER,2010
URU,2010
ARG,2010
BRA,2010
GHA,2010
PAR,2010
JPN,2010
KOR,2010
USA,2010
MEX,2010
ENG,2010
POR,2010
CHI,2010
SVK,2010
SUI,2010
HON,2010
CMR,2010
CIV,2010
ALG,2010
NGA,2010
AUS,2010
NZL,2010
SRB,2010
DEN,2010
FRA,2010
ITA,2010
GRE,2010
SVN,2010
PRK,2010
MAR,2010
GER,2014
ARG,2014
NED,2014
BRA,2014
COL,2014
BEL,2014
FRA,2014
CRC,2014
SUI,2014
MEX,2014
URU,2014
GRE,2014
ALG,2014
USA,2014
NGA,2014
CHI,2014
CIV,2014
JPN,2014
KOR,2014
AUS,2014
IRN,2014
CMR,2014
ECU,2014
HON,2014
BIH,2014
RUS,2014
ENG,2014
ESP,2014
ITA,2014
POR,2014
CRO,2014
AUS,2014
FRA,2018
CRO,2018
BEL,2018
ENG,2018
URU,2018
BRA,2018
SWE,2018
RUS,2018
COL,2018
DEN,2018
MEX,2018
JPN,2018
ESP,2018
POR,2018
SUI,2018
ARG,2018
GER,2018
POL,2018
SEN,2018
EGY,2018
IRN,2018
KOR,2018
MAR,2018
TUN,2018
CIV,2018
NGA,2018
CMR,2018
ISL,2018
PER,2018
SAU,2018
AUS,2018
CRI,2018
ARG,2022
FRA,2022
CRO,2022
MAR,2022
NED,2022
ENG,2022
BRA,2022
POR,2022
JPN,2022
SEN,2022
USA,2022
POL,2022
KOR,2022
AUS,2022
SUI,2022
ESP,2022
CRC,2022
MEX,2022
GHA,2022
CMR,2022
BEL,2022
GER,2022
URU,2022
ECU,2022
IRN,2022
WAL,2022
QAT,2022
CAN,2022
DEN,2022
TUN,2022
KSA,2022
SRB,2022
ARG,2026
BRA,2026
FRA,2026
ESP,2026
ENG,2026
GER,2026
POR,2026
NED,2026
ITA,2026
BEL,2026
URU,2026
CRO,2026
COL,2026
MEX,2026
USA,2026
JPN,2026
KOR,2026
SEN,2026
MAR,2026
IRN,2026
AUS,2026
CAN,2026
ECU,2026
PER,2026
CHI,2026
PAR,2026
GHA,2026
CMR,2026
TUN,2026
EGY,2026
ALG,2026
NGA,2026
CIV,2026
MLI,2026
BFA,2026
DRC,2026
ZAM,2026
CPV,2026
NZL,2026
QAT,2026
IRQ,2026
UZB,2026
JOR,2026
OMA,2026
BHR,2026
KSA,2026
SAU,2026
SUI,2026
