EventID,MatchID,PlayerID,TeamCode,EventType,Minute,Detail,xG
1,1,73,URU,YellowCard,7,Foul,0.0
2,1,609,FRA,YellowCard,61,Foul,0.0
3,1,608,FRA,YellowCard,33,Foul,0.0
4,1,88,URU,Substitution,49,Sub On,0.0
5,1,75,URU,Substitution,79,Sub On,0.0
6,1,74,URU,Substitution,73,Sub On,0.0
7,1,614,FRA,Substitution,69,Sub On,0.0
8,1,610,FRA,Substitution,77,Sub On,0.0
9,1,611,FRA,Substitution,63,Sub On,0.0
10,1,599,FRA,Substitution,76,Sub On,0.0
11,1,610,FRA,Substitution,47,Sub On,0.0
12,2,265,MEX,Goal,65,Open Play,0.14
13,2,263,MEX,YellowCard,5,Foul,0.0
14,2,256,MEX,YellowCard,63,Foul,0.0
15,2,260,MEX,Substitution,79,Sub On,0.0
16,2,259,MEX,Substitution,46,Sub On,0.0
17,2,254,MEX,Substitution,58,Sub On,0.0
18,2,261,MEX,Substitution,70,Sub On,0.0
19,3,88,URU,Goal,63,Open Play,0.83
20,3,70,URU,Goal,83,Open Play,0.38
21,3,85,URU,Goal,92,Penalty,0.52
22,3,88,URU,YellowCard,64,Foul,0.0
23,3,80,URU,YellowCard,21,Foul,0.0
24,3,91,URU,Substitution,55,Sub On,0.0
25,3,79,URU,Substitution,73,Sub On,0.0
26,3,86,URU,Substitution,65,Sub On,0.0
27,3,79,URU,Substitution,74,Sub On,0.0
28,3,81,URU,Substitution,83,Sub On,0.0
29,4,255,MEX,Goal,37,Open Play,0.29
30,4,255,MEX,Goal,78,Open Play,0.11
31,4,618,FRA,YellowCard,6,Foul,0.0
32,4,603,FRA,YellowCard,41,Foul,0.0
33,4,602,FRA,YellowCard,68,Foul,0.0
34,4,255,MEX,YellowCard,20,Foul,0.0
35,4,604,FRA,Substitution,70,Sub On,0.0
36,4,607,FRA,Substitution,60,Sub On,0.0
37,4,607,FRA,Substitution,84,Sub On,0.0
38,4,620,FRA,Substitution,84,Sub On,0.0
39,4,260,MEX,Substitution,50,Sub On,0.0
40,4,258,MEX,Substitution,74,Sub On,0.0
41,4,265,MEX,Substitution,76,Sub On,0.0
42,4,274,MEX,Substitution,62,Sub On,0.0
43,4,276,MEX,Substitution,59,Sub On,0.0
44,5,85,URU,Goal,73,Open Play,0.8
45,5,74,URU,YellowCard,10,Foul,0.0
46,5,70,URU,YellowCard,79,Foul,0.0
47,5,92,URU,YellowCard,53,Foul,0.0
48,5,263,MEX,YellowCard,67,Foul,0.0
49,5,74,URU,YellowCard,38,Foul,0.0
50,5,267,MEX,Substitution,54,Sub On,0.0
51,5,271,MEX,Substitution,78,Sub On,0.0
52,5,275,MEX,Substitution,68,Sub On,0.0
53,5,270,MEX,Substitution,88,Sub On,0.0
54,5,275,MEX,Substitution,65,Sub On,0.0
55,5,91,URU,Substitution,65,Sub On,0.0
56,5,85,URU,Substitution,73,Sub On,0.0
57,5,83,URU,Substitution,79,Sub On,0.0
58,5,77,URU,Substitution,80,Sub On,0.0
59,5,86,URU,Substitution,83,Sub On,0.0
60,6,619,FRA,Goal,51,Penalty,0.56
61,6,614,FRA,Goal,65,Open Play,0.74
62,6,601,FRA,YellowCard,42,Foul,0.0
63,6,602,FRA,YellowCard,70,Foul,0.0
64,6,621,FRA,Substitution,53,Sub On,0.0
65,6,610,FRA,Substitution,58,Sub On,0.0
66,6,615,FRA,Substitution,88,Sub On,0.0
67,6,619,FRA,Substitution,59,Sub On,0.0
68,7,93,ARG,Goal,52,Own Goal,0.77
69,7,499,NGA,YellowCard,52,Foul,0.0
70,7,500,NGA,YellowCard,72,Foul,0.0
71,7,115,ARG,YellowCard,27,Foul,0.0
72,7,105,ARG,Substitution,52,Sub On,0.0
73,7,113,ARG,Substitution,59,Sub On,0.0
74,7,113,ARG,Substitution,84,Sub On,0.0
75,7,494,NGA,Substitution,48,Sub On,0.0
76,7,486,NGA,Substitution,72,Sub On,0.0
77,7,505,NGA,Substitution,89,Sub On,0.0
78,7,497,NGA,Substitution,56,Sub On,0.0
79,7,499,NGA,Substitution,62,Sub On,0.0
80,8,229,KOR,Goal,32,Open Play,0.06
81,8,228,KOR,Goal,75,Open Play,0.65
82,8,219,KOR,YellowCard,16,Foul,0.0
83,8,667,GRE,YellowCard,14,Foul,0.0
84,8,213,KOR,YellowCard,32,Foul,0.0
85,8,218,KOR,YellowCard,25,Foul,0.0
86,8,224,KOR,YellowCard,54,Foul,0.0
87,8,224,KOR,Substitution,76,Sub On,0.0
88,8,217,KOR,Substitution,73,Sub On,0.0
89,8,210,KOR,Substitution,58,Sub On,0.0
90,8,209,KOR,Substitution,82,Sub On,0.0
91,8,216,KOR,Substitution,62,Sub On,0.0
92,8,650,GRE,Substitution,49,Sub On,0.0
93,8,650,GRE,Substitution,68,Sub On,0.0
94,8,655,GRE,Substitution,62,Sub On,0.0
95,9,98,ARG,Goal,44,Open Play,0.42
96,9,93,ARG,Goal,55,Open Play,0.32
97,9,104,ARG,Goal,66,Open Play,0.7
98,9,102,ARG,Goal,67,Open Play,0.08
99,9,214,KOR,Goal,10,Open Play,0.81
100,9,100,ARG,YellowCard,1,Foul,0.0
101,9,216,KOR,YellowCard,49,Foul,0.0
102,9,109,ARG,Substitution,79,Sub On,0.0
103,9,102,ARG,Substitution,83,Sub On,0.0
104,9,105,ARG,Substitution,59,Sub On,0.0
105,9,109,ARG,Substitution,51,Sub On,0.0
106,9,93,ARG,Substitution,87,Sub On,0.0
107,9,213,KOR,Substitution,79,Sub On,0.0
