MatchID,WorldCupYear,Stage,Date,Stadium,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,Winner,Attendance
1,2010,Group,2010-06-02,Stadium 1,URU,FRA,0,0,0,Draw,62134
2,2010,Group,2010-06-27,Stadium 2,RSA,MEX,1,1,2,Draw,59624
3,2010,Group,2010-06-14,Stadium 3,URU,RSA,3,0,3,URU,69245
4,2010,Group,2010-06-30,Stadium 4,FRA,MEX,0,2,2,MEX,44964
5,2010,Group,2010-06-29,Stadium 5,MEX,URU,0,1,1,URU,37167
6,2010,Group,2010-06-06,Stadium 6,FRA,RSA,2,1,3,FRA,54524
7,2010,Group,2010-06-29,Stadium 7,ARG,NGA,1,0,1,ARG,40882
8,2010,Group,2010-06-23,Stadium 8,KOR,GRE,2,0,2,KOR,61437
9,2010,Group,2010-06-28,Stadium 9,ARG,KOR,4,1,5,ARG,77584
10,2010,Group,2010-06-26,Stadium 10,GRE,NGA,2,1,3,GRE,36919
11,2010,Group,2010-06-01,Stadium 11,NGA,KOR,2,2,4,Draw,63927
12,2010,Group,2010-06-16,Stadium 12,GRE,ARG,0,2,2,ARG,63684
13,2010,Group,2010-06-02,Stadium 13,ENG,USA,1,1,2,Draw,51798
14,2010,Group,2010-06-26,Stadium 14,ENG,ALG,0,0,0,Draw,74356
15,2010,Group,2010-06-20,Stadium 15,SVN,ALG,1,0,1,SVN,52128
16,2010,Group,2010-06-29,Stadium 16,USA,SVN,2,2,4,Draw,68929
17,2010,Group,2010-06-27,Stadium 17,ENG,SVN,1,0,1,ENG,79353
18,2010,Group,2010-06-21,Stadium 18,USA,ALG,1,0,1,USA,74079
19,2010,Group,2010-06-16,Stadium 19,GER,AUS,4,0,4,GER,60109
20,2010,Group,2010-06-21,Stadium 20,SRB,GHA,0,1,1,GHA,32409
21,2010,Group,2010-06-30,Stadium 21,GER,SRB,0,1,1,SRB,44150
22,2010,Group,2010-06-23,Stadium 22,GHA,AUS,1,1,2,Draw,42584
23,2010,Group,2010-06-22,Stadium 23,GHA,GER,0,1,1,GER,31984
24,2010,Group,2010-06-16,Stadium 24,AUS,SRB,2,1,3,AUS,76595
25,2010,Group,2010-06-05,Stadium 25,NED,DEN,2,0,2,NED,48913
26,2010,Group,2010-06-06,Stadium 26,JPN,CMR,1,0,1,JPN,50105
27,2010,Group,2010-06-25,Stadium 27,NED,JPN,1,0,1,NED,35169
28,2010,Group,2010-06-20,Stadium 28,CMR,DEN,1,2,3,DEN,73234
29,2010,Group,2010-06-04,Stadium 29,JPN,DEN,3,1,4,JPN,47719
30,2010,Group,2010-06-04,Stadium 30,CMR,NED,1,2,3,NED,71033
31,2010,Group,2010-06-07,Stadium 31,ITA,PAR,1,1,2,Draw,72272
32,2010,Group,2010-06-14,Stadium 32,NZL,SVK,1,1,2,Draw,69525
33,2010,Group,2010-06-27,Stadium 33,ITA,NZL,1,1,2,Draw,38726
34,2010,Group,2010-06-25,Stadium 34,SVK,PAR,0,2,2,PAR,47487
35,2010,Group,2010-06-12,Stadium 35,SVK,ITA,3,2,5,SVK,54715
36,2010,Group,2010-06-30,Stadium 36,PAR,NZL,0,0,0,Draw,33980
37,2010,Group,2010-06-28,Stadium 37,BRA,PRK,2,1,3,BRA,41655
38,2010,Group,2010-06-01,Stadium 38,CIV,POR,0,0,0,Draw,36023
39,2010,Group,2010-06-03,Stadium 39,BRA,CIV,3,1,4,BRA,62532
40,2010,Group,2010-06-30,Stadium 40,POR,PRK,7,0,7,POR,78804
41,2010,Group,2010-06-01,Stadium 41,POR,BRA,0,0,0,Draw,30724
42,2010,Group,2010-06-02,Stadium 42,PRK,CIV,0,3,3,CIV,52594
43,2010,Group,2010-06-16,Stadium 43,ESP,SUI,0,1,1,SUI,61552
44,2010,Group,2010-06-15,Stadium 44,HON,CHI,0,1,1,CHI,74449
45,2010,Group,2010-06-15,Stadium 45,ESP,HON,2,0,2,ESP,40492
46,2010,Group,2010-06-01,Stadium 46,CHI,SUI,1,0,1,CHI,60707
47,2010,Group,2010-06-20,Stadium 47,CHI,ESP,1,2,3,ESP,55712
48,2010,Group,2010-06-29,Stadium 48,SUI,HON,0,0,0,Draw,36644
49,2010,Knockout,2010-06-04,Stadium 49,URU,KOR,2,1,3,URU,76681
50,2010,Knockout,2010-06-06,Stadium 50,USA,GHA,1,2,3,GHA,77415
51,2010,Knockout,2010-06-06,Stadium 51,NED,SVK,2,1,3,NED,60990
52,2010,Knockout,2010-06-08,Stadium 52,BRA,CHI,3,0,3,BRA,38556
53,2010,Knockout,2010-06-26,Stadium 53,ARG,MEX,3,1,4,ARG,59911
54,2010,Knockout,2010-06-17,Stadium 54,ENG,GER,1,4,5,GER,61427
55,2010,Knockout,2010-06-22,Stadium 55,PAR,JPN,0,0,0,Draw,67093
56,2010,Knockout,2010-06-28,Stadium 56,ESP,POR,1,0,1,ESP,51213
57,2010,Knockout,2010-06-18,Stadium 57,NED,BRA,2,1,3,NED,73426
58,2010,Knockout,2010-06-14,Stadium 58,URU,GHA,1,1,2,Draw,52230
59,2010,Knockout,2010-06-18,Stadium 59,ARG,GER,0,4,4,GER,50565
60,2010,Knockout,2010-06-04,Stadium 60,ESP,PAR,1,0,1,ESP,64131
61,2010,Knockout,2010-06-09,Stadium 61,URU,NED,2,3,5,NED,67411
62,2010,Knockout,2010-06-02,Stadium 62,GER,ESP,0,1,1,ESP,72079
63,2010,Knockout,2010-06-05,Stadium 63,URU,GER,2,3,5,GER,61782
64,2010,Knockout,2010-06-29,Stadium 64,NED,ESP,0,1,1,ESP,34604
65,2014,Group,2014-06-03,Stadium 65,BRA,CRO,3,1,4,BRA,55344
66,2014,Group,2014-06-23,Stadium 66,MEX,CMR,1,0,1,MEX,72486
67,2014,Group,2014-06-29,Stadium 67,BRA,MEX,0,0,0,Draw,61776
68,2014,Group,2014-06-13,Stadium 68,CMR,CRO,0,4,4,CRO,65088
69,2014,Group,2014-06-26,Stadium 69,CMR,BRA,1,4,5,BRA,33542
70,2014,Group,2014-06-12,Stadium 70,CRO,MEX,1,3,4,MEX,64905
71,2014,Group,2014-06-02,Stadium 71,ESP,NED,1,5,6,NED,50292
72,2014,Group,2014-06-11,Stadium 72,CHI,AUS,3,1,4,CHI,58881
73,2014,Group,2014-06-22,Stadium 73,ESP,CHI,0,2,2,CHI,44356
74,2014,Group,2014-06-27,Stadium 74,AUS,NED,2,3,5,NED,65135
75,2014,Group,2014-06-07,Stadium 75,AUS,ESP,0,3,3,ESP,30316
76,2014,Group,2014-06-22,Stadium 76,NED,CHI,2,0,2,NED,68451
77,2014,Group,2014-06-28,Stadium 77,COL,GRE,3,0,3,COL,38394
78,2014,Group,2014-06-10,Stadium 78,CIV,JPN,2,1,3,CIV,38935
79,2014,Group,2014-06-01,Stadium 79,COL,CIV,2,1,3,COL,64696
80,2014,Group,2014-06-17,Stadium 80,JPN,GRE,0,0,0,Draw,50442
81,2014,Group,2014-06-28,Stadium 81,JPN,COL,1,4,5,COL,36823
82,2014,Group,2014-06-06,Stadium 82,GRE,CIV,2,1,3,GRE,79008
83,2014,Group,2014-06-30,Stadium 83,URU,CRC,1,3,4,CRC,67298
84,2014,Group,2014-06-07,Stadium 84,ENG,ITA,1,2,3,ITA,59546
85,2014,Group,2014-06-09,Stadium 85,URU,ENG,2,1,3,URU,33548
86,2014,Group,2014-06-01,Stadium 86,ITA,CRC,0,1,1,CRC,36848
87,2014,Group,2014-06-07,Stadium 87,ITA,URU,0,1,1,URU,46431
88,2014,Group,2014-06-18,Stadium 88,CRC,ENG,0,0,0,Draw,62151
89,2014,Group,2014-06-10,Stadium 89,SUI,ECU,2,1,3,SUI,48989
90,2014,Group,2014-06-15,Stadium 90,FRA,HON,3,0,3,FRA,54692
91,2014,Group,2014-06-29,Stadium 91,SUI,FRA,2,5,7,FRA,36211
92,2014,Group,2014-06-14,Stadium 92,HON,ECU,1,2,3,ECU,74981
93,2014,Group,2014-06-21,Stadium 93,HON,SUI,0,3,3,SUI,75747
94,2014,Group,2014-06-05,Stadium 94,ECU,FRA,0,0,0,Draw,39810
95,2014,Group,2014-06-26,Stadium 95,ARG,BIH,2,1,3,ARG,51633
96,2014,Group,2014-06-23,Stadium 96,IRN,NGA,0,0,0,Draw,32893
97,2014,Group,2014-06-01,Stadium 97,ARG,IRN,1,0,1,ARG,67131
98,2014,Group,2014-06-09,Stadium 98,NGA,BIH,1,0,1,NGA,62324
99,2014,Group,2014-06-05,Stadium 99,NGA,ARG,2,3,5,ARG,46115
100,2014,Group,2014-06-15,Stadium 100,BIH,IRN,3,1,4,BIH,37391
101,2014,Group,2014-06-18,Stadium 101,GER,POR,4,0,4,GER,56847
102,2014,Group,2014-06-28,Stadium 102,GHA,USA,1,2,3,USA,46397
103,2014,Group,2014-06-07,Stadium 103,GER,GHA,2,2,4,Draw,43278
104,2014,Group,2014-06-07,Stadium 104,USA,POR,2,2,4,Draw,52124
105,2014,Group,2014-06-23,Stadium 105,USA,GER,0,1,1,GER,36665
106,2014,Group,2014-06-27,Stadium 106,POR,GHA,2,1,3,POR,65944
107,2014,Group,2014-06-14,Stadium 107,BEL,ALG,2,1,3,BEL,74372
108,2014,Group,2014-06-14,Stadium 108,RUS,KOR,1,1,2,Draw,52999
109,2014,Group,2014-06-20,Stadium 109,BEL,RUS,1,0,1,BEL,72642
110,2014,Group,2014-06-14,Stadium 110,KOR,ALG,2,4,6,ALG,46569
111,2014,Group,2014-06-26,Stadium 111,KOR,BEL,0,1,1,BEL,40015
112,2014,Group,2014-06-03,Stadium 112,ALG,RUS,1,1,2,Draw,54409
113,2014,Knockout,2014-06-28,Stadium 113,BRA,CHI,1,1,2,Draw,52006
114,2014,Knockout,2014-06-17,Stadium 114,COL,URU,2,0,2,COL,77838
115,2014,Knockout,2014-06-14,Stadium 115,NED,MEX,2,1,3,NED,46273
116,2014,Knockout,2014-06-08,Stadium 116,CRC,GRE,1,1,2,Draw,57955
117,2014,Knockout,2014-06-15,Stadium 117,FRA,NGA,2,0,2,FRA,38077
118,2014,Knockout,2014-06-09,Stadium 118,GER,ALG,2,1,3,GER,57439
119,2014,Knockout,2014-06-08,Stadium 119,ARG,SUI,1,0,1,ARG,40132
120,2014,Knockout,2014-06-16,Stadium 120,BEL,USA,2,1,3,BEL,77616
121,2014,Knockout,2014-06-05,Stadium 121,BRA,COL,2,1,3,BRA,47255
122,2014,Knockout,2014-06-16,Stadium 122,NED,CRC,0,0,0,Draw,45736
123,2014,Knockout,2014-06-08,Stadium 123,ARG,BEL,1,0,1,ARG,67259
124,2014,Knockout,2014-06-15,Stadium 124,FRA,GER,0,1,1,GER,72646
125,2014,Knockout,2014-06-15,Stadium 125,BRA,GER,1,7,8,GER,57768
126,2014,Knockout,2014-06-22,Stadium 126,NED,ARG,0,0,0,Draw,72505
127,2014,Knockout,2014-06-04,Stadium 127,BRA,NED,0,3,3,NED,70403
128,2014,Knockout,2014-06-15,Stadium 128,GER,ARG,1,0,1,GER,70040
129,2018,Group,2018-06-03,Stadium 129,RUS,SAU,5,0,5,RUS,72806
130,2018,Group,2018-06-26,Stadium 130,EGY,URU,0,1,1,URU,65788
131,2018,Group,2018-06-30,Stadium 131,RUS,EGY,3,1,4,RUS,76741
132,2018,Group,2018-06-18,Stadium 132,URY,SAU,1,0,1,URY,46648
133,2018,Group,2018-06-24,Stadium 133,URY,RUS,3,0,3,URY,50047
134,2018,Group,2018-06-17,Stadium 134,SAU,EGY,2,1,3,SAU,41481
135,2018,Group,2018-06-20,Stadium 135,POR,ESP,3,3,6,Draw,45259
136,2018,Group,2018-06-14,Stadium 136,MAR,IRN,0,1,1,IRN,61907
137,2018,Group,2018-06-14,Stadium 137,POR,MAR,1,0,1,POR,44701
138,2018,Group,2018-06-15,Stadium 138,IRN,ESP,0,1,1,ESP,33250
139,2018,Group,2018-06-27,Stadium 139,IRN,POR,1,1,2,Draw,57657
140,2018,Group,2018-06-19,Stadium 140,ESP,MAR,2,2,4,Draw,41030
141,2018,Group,2018-06-30,Stadium 141,FRA,AUS,2,1,3,FRA,75935
142,2018,Group,2018-06-28,Stadium 142,PER,DEN,0,1,1,DEN,72153
143,2018,Group,2018-06-02,Stadium 143,FRA,PER,1,0,1,FRA,68977
